emp_id,department,role,band,gender,city,education,age,tenure_years,salary,performance,satisfaction,engagement,leaves_taken,trainings,promotions,attrition,exit_reason,hire_year,remote_pct,overtime_hrs,manager_rating,peer_rating,skip_meetings_pct,attrition_risk,risk_band,cost_to_replace,days_since_promo,target_achieved
EMP00049,HR,Senior Manager,L5,Male,Kolkata,MBA,34,6.5,24200.0,3.1,3.0,3.6,23,5,2,0,Contract End,2015,75,17,3.8,2.9,0.34,0.466,Medium,38700.0,961,0.53
EMP00050,Sales,Individual Contributor,L2,Male,Delhi,Master's,44,1.4,87000.0,4.8,2.2,2.7,14,4,2,0,Termination,2016,50,2,2.3,2.0,0.1,0.511,Medium,64900.0,957,0.4
EMP00051,Sales,Senior Analyst,L2,Male,Chennai,MBA,40,4.6,105800.0,4.6,4.9,3.8,27,4,1,0,Contract End,2020,50,23,4.5,4.5,0.3,0.406,Medium,56900.0,890,0.47
EMP00052,Finance,VP,L1,Female,Delhi,MBA,52,3.2,150700.0,2.6,3.7,3.3,21,1,0,0,Termination,2023,100,18,2.9,3.3,0.29,0.458,Medium,255900.0,1471,0.6
EMP00053,Marketing,Senior Analyst,L4,Male,Delhi,Diploma,32,20.0,84000.0,3.5,3.0,1.9,31,6,2,0,Termination,2021,50,1,4.1,3.7,0.1,0.288,Low,61500.0,1204,0.39
EMP00054,Sales,Senior Manager,L1,Male,Pune,Master's,41,4.9,69200.0,3.8,4.8,3.5,15,8,0,0,Contract End,2018,75,7,3.9,3.7,0.24,0.295,Low,120600.0,1463,0.52
EMP00055,Engineering,Analyst,L1,Male,Pune,Bachelor's,35,10.3,45400.0,4.2,3.0,2.7,31,3,3,0,Contract End,2020,0,12,3.7,3.6,0.3,0.467,Medium,72300.0,506,0.55
EMP00056,Engineering,Senior Analyst,L1,Male,Noida,PhD,57,1.9,41700.0,3.6,3.2,3.0,30,0,0,0,Contract End,2023,50,17,4.0,2.9,0.06,0.499,Medium,25100.0,251,0.64
EMP00057,HR,Manager,L2,Male,Kolkata,PhD,43,1.8,203800.0,4.3,2.5,2.9,6,3,1,0,Transfer,2015,75,13,3.1,4.6,0.15,0.572,Medium,158300.0,795,0.68
EMP00058,Marketing,Senior Manager,L2,Female,Pune,Diploma,35,2.4,78900.0,2.8,3.6,4.1,20,8,3,1,Termination,2019,50,19,3.5,4.2,0.22,0.519,Medium,91300.0,1258,0.45
EMP00059,Finance,Senior Analyst,L5,Female,Kolkata,Bachelor's,43,3.7,95000.0,3.7,4.6,3.9,10,6,3,0,Termination,2015,0,9,2.7,3.0,0.0,0.331,Medium,142700.0,1113,0.74
EMP00060,Customer Success,Manager,L3,Female,Mumbai,Master's,37,1.5,23400.0,2.8,4.0,3.8,8,2,1,0,Transfer,2021,100,12,4.4,4.5,0.08,0.443,Medium,27800.0,125,0.68
EMP00061,Finance,Analyst,L4,Male,Kolkata,Bachelor's,34,0.1,123000.0,3.8,4.5,3.7,26,7,1,0,Transfer,2015,25,23,3.5,3.6,0.15,0.454,Medium,94400.0,1435,0.58
EMP00062,Engineering,Senior Analyst,L3,Female,Hyderabad,Master's,56,1.6,48200.0,3.4,2.7,2.9,9,5,2,1,Contract End,2018,50,8,3.0,2.9,0.3,0.495,Medium,54900.0,163,0.74
EMP00063,Product,Director,L3,Male,Kolkata,Master's,23,2.5,81000.0,4.4,4.1,1.7,4,2,2,0,Transfer,2017,75,23,3.3,3.2,0.21,0.548,Medium,85000.0,561,0.6
EMP00064,Marketing,Director,L1,Male,Pune,Diploma,36,1.6,111200.0,4.7,3.1,4.2,21,4,0,0,Retirement,2020,100,21,4.6,4.2,0.34,0.514,Medium,208000.0,217,0.7
EMP00065,Product,VP,L5,Male,Hyderabad,Bachelor's,45,1.8,64200.0,4.5,3.2,4.1,3,4,1,0,Contract End,2020,50,14,4.6,2.6,0.02,0.411,Medium,86600.0,1351,0.59
EMP00066,Customer Success,Senior Manager,L1,Male,Bangalore,Master's,38,3.3,74900.0,2.7,2.6,3.3,19,6,0,0,Termination,2020,50,7,3.4,3.1,0.13,0.479,Medium,139600.0,577,0.8
EMP00067,Customer Success,Director,L2,Male,Mumbai,Bachelor's,46,8.2,95900.0,3.3,4.7,2.7,21,0,3,0,Contract End,2018,50,21,4.7,3.2,0.06,0.424,Medium,158500.0,929,0.62
EMP00068,Operations,Manager,L4,Male,Hyderabad,MBA,25,1.1,97800.0,2.4,4.2,2.2,12,8,0,0,Transfer,2019,25,1,4.1,2.6,0.12,0.351,Medium,179900.0,1441,0.74
EMP00069,Sales,VP,L3,Female,Mumbai,Diploma,57,2.5,76100.0,4.1,4.4,3.3,21,2,0,0,Contract End,2016,100,17,3.7,4.3,0.12,0.409,Medium,140100.0,1029,0.74
EMP00070,Operations,Analyst,L3,Male,Noida,MBA,51,3.1,41200.0,3.7,3.6,4.3,26,7,0,0,Transfer,2017,75,20,3.9,3.5,0.17,0.473,Medium,54600.0,409,0.77
EMP00071,Engineering,Individual Contributor,L3,Male,Kolkata,Master's,50,0.7,80500.0,3.8,3.6,3.0,6,3,0,0,Retirement,2019,100,2,3.8,3.9,0.23,0.402,Medium,52200.0,671,0.75
EMP00072,Product,Individual Contributor,L4,Male,Delhi,MBA,49,1.5,124400.0,2.4,3.9,3.3,5,8,1,1,Contract End,2016,50,8,2.9,3.5,0.13,0.38,Medium,84000.0,1222,0.82
EMP00073,Sales,Director,L2,Male,Mumbai,Master's,56,3.3,93500.0,4.0,4.6,2.2,12,5,2,0,Resignation,2020,100,1,4.2,4.8,0.29,0.354,Medium,84400.0,221,0.36
EMP00074,HR,Analyst,L3,Male,Delhi,Bachelor's,30,7.2,76800.0,3.1,2.8,3.2,10,7,2,0,Contract End,2017,100,20,4.7,3.1,0.08,0.497,Medium,100200.0,132,0.52
EMP00075,Sales,Individual Contributor,L5,Male,Mumbai,Bachelor's,50,1.7,44400.0,3.9,3.8,2.7,5,6,3,0,Transfer,2020,100,23,4.2,3.2,0.08,0.585,Medium,30800.0,1350,0.63
EMP00076,Engineering,Individual Contributor,L6,Male,Mumbai,Bachelor's,41,2.2,93600.0,4.3,2.3,2.8,19,7,1,0,Transfer,2022,100,6,3.9,3.5,0.02,0.501,Medium,122900.0,801,0.46
EMP00077,Sales,Senior Manager,L3,Female,Delhi,Bachelor's,25,1.6,37900.0,5.0,2.8,1.8,15,7,0,1,Termination,2023,75,7,3.4,4.8,0.28,0.564,Medium,38100.0,834,0.66
EMP00078,Product,Director,L1,Male,Bangalore,MBA,52,4.0,103200.0,4.4,2.2,2.5,7,4,0,0,Resignation,2019,0,3,3.0,3.7,0.39,0.487,Medium,70500.0,618,0.45
EMP00079,Product,Senior Manager,L1,Female,Noida,MBA,24,1.1,29800.0,4.0,4.5,2.4,9,8,2,0,Transfer,2023,75,19,3.6,4.4,0.27,0.544,Medium,27500.0,1236,0.48
EMP00080,Engineering,Senior Manager,L1,Male,Pune,Diploma,44,1.1,134700.0,2.3,4.2,3.4,30,5,3,0,Termination,2016,50,10,4.3,4.4,0.39,0.43,Medium,152200.0,210,0.79
EMP00081,Sales,Individual Contributor,L2,Female,Kolkata,Bachelor's,38,1.7,56200.0,3.8,3.6,3.9,13,2,1,0,Retirement,2022,100,15,4.0,3.2,0.17,0.471,Medium,72100.0,139,0.74
EMP00082,Sales,Analyst,L2,Male,Bangalore,Bachelor's,27,1.2,41200.0,4.2,2.5,3.4,12,4,3,0,Retirement,2016,100,21,2.7,4.8,0.34,0.581,Medium,33100.0,511,0.78
EMP00083,Operations,Individual Contributor,L3,Female,Delhi,Bachelor's,24,0.9,50900.0,4.0,3.7,1.8,26,3,1,0,Resignation,2021,50,14,4.1,4.2,0.24,0.508,Medium,54300.0,692,0.49
EMP00084,Operations,Individual Contributor,L4,Male,Mumbai,Bachelor's,29,0.7,60400.0,4.0,2.8,1.6,27,1,0,0,Contract End,2021,75,7,3.0,3.8,0.02,0.572,Medium,116700.0,1121,0.9
EMP00085,Marketing,Individual Contributor,L1,Female,Noida,Bachelor's,51,0.1,41500.0,2.4,1.6,3.3,2,2,2,0,Resignation,2016,50,6,4.2,4.5,0.02,0.496,Medium,26300.0,636,0.5
EMP00086,Sales,VP,L2,Female,Mumbai,Bachelor's,40,1.7,85400.0,4.8,3.1,4.5,19,6,2,0,Retirement,2023,25,14,4.6,2.8,0.13,0.481,Medium,95600.0,906,0.37
EMP00087,Operations,Senior Analyst,L4,Female,Noida,Master's,40,7.3,65800.0,4.2,4.6,4.2,22,8,3,0,Contract End,2015,100,7,3.9,4.4,0.35,0.303,Low,61900.0,781,0.8
EMP00088,Operations,Analyst,L3,Male,Noida,Master's,47,2.6,105000.0,3.7,4.5,3.6,26,6,2,0,Resignation,2017,75,20,4.9,4.6,0.26,0.475,Medium,124500.0,649,0.43
EMP00089,Finance,Individual Contributor,L3,Male,Bangalore,Bachelor's,33,4.0,131300.0,3.8,4.9,2.4,19,8,1,0,Resignation,2018,50,3,4.2,1.7,0.03,0.299,Low,70900.0,909,0.34
EMP00090,Operations,Analyst,L1,Male,Delhi,MBA,25,1.1,199200.0,3.3,4.4,4.7,19,3,2,0,Contract End,2017,25,23,4.5,3.2,0.08,0.434,Medium,304700.0,1487,0.42
EMP00091,Customer Success,Individual Contributor,L2,Male,Bangalore,MBA,28,8.4,23000.0,3.3,4.0,3.6,19,5,0,0,Transfer,2020,100,6,4.3,3.5,0.37,0.359,Medium,30200.0,184,0.65
EMP00092,Engineering,Manager,L3,Male,Bangalore,Master's,25,1.8,69900.0,4.2,3.1,2.4,28,5,1,1,Contract End,2017,75,21,1.6,4.0,0.11,0.626,Medium,94400.0,1322,0.64
EMP00093,Operations,Senior Manager,L2,Male,Pune,Bachelor's,22,0.9,63700.0,3.1,4.3,4.0,7,5,0,0,Termination,2019,100,24,3.2,4.7,0.27,0.476,Medium,41600.0,302,0.73
EMP00094,Product,Senior Manager,L3,Female,Kolkata,Master's,50,1.9,93900.0,3.0,4.5,4.3,0,0,0,0,Termination,2019,75,17,3.4,4.2,0.21,0.38,Medium,130000.0,105,0.7
EMP00095,Sales,Analyst,L1,Male,Kolkata,Diploma,25,0.1,58500.0,3.1,4.0,4.8,7,7,3,0,Termination,2019,0,2,3.3,3.7,0.13,0.249,Low,112500.0,175,0.69
EMP00096,Operations,Manager,L4,Female,Bangalore,MBA,31,0.5,141900.0,4.6,2.5,3.9,24,0,0,0,Retirement,2023,100,23,3.1,3.5,0.26,0.594,Medium,91800.0,1273,0.55
EMP00097,HR,Senior Manager,L3,Male,Chennai,Bachelor's,36,3.1,42400.0,3.4,3.3,4.8,30,2,0,0,Resignation,2021,0,13,4.7,3.6,0.06,0.347,Medium,44400.0,1344,0.62
EMP00098,Engineering,Manager,L4,Female,Kolkata,Bachelor's,36,0.7,59900.0,4.6,3.0,1.6,11,6,3,0,Retirement,2016,75,23,3.8,4.5,0.39,0.697,High,95500.0,1303,0.74
EMP00099,Finance,VP,L2,Female,Bangalore,Bachelor's,22,6.3,179200.0,3.1,2.4,2.9,9,4,2,1,Contract End,2021,0,22,4.3,3.9,0.18,0.614,Medium,268400.0,924,0.71
EMP00100,Engineering,Senior Analyst,L4,Female,Hyderabad,Master's,45,7.1,42300.0,4.1,2.6,4.0,27,8,2,0,Contract End,2022,50,16,3.4,4.3,0.05,0.48,Medium,83300.0,1429,0.49
EMP00101,Sales,VP,L1,Female,Pune,MBA,38,2.3,69300.0,4.6,4.3,4.2,26,6,0,0,Contract End,2016,50,19,3.7,3.5,0.16,0.396,Medium,124400.0,1398,0.73
EMP00102,Operations,VP,L3,Female,Hyderabad,Bachelor's,32,0.5,60600.0,4.4,3.3,2.4,28,3,2,0,Transfer,2017,0,21,4.5,4.4,0.24,0.574,Medium,45600.0,1274,0.41
EMP00103,Sales,Senior Manager,L5,Male,Pune,Master's,42,2.3,73200.0,4.0,3.3,4.8,28,2,0,0,Termination,2020,100,18,4.2,2.1,0.31,0.422,Medium,39700.0,1297,0.74
EMP00104,Marketing,Individual Contributor,L6,Male,Hyderabad,Bachelor's,27,0.5,118100.0,4.2,4.6,4.7,20,3,3,0,Transfer,2020,0,7,2.5,3.3,0.1,0.285,Low,60800.0,179,0.69
EMP00105,HR,Director,L4,Male,Mumbai,MBA,52,3.8,73900.0,4.8,3.8,4.9,10,0,2,0,Resignation,2020,100,20,3.5,3.8,0.17,0.428,Medium,106000.0,1420,0.63
EMP00106,Operations,Individual Contributor,L4,Male,Hyderabad,Bachelor's,48,3.7,89700.0,2.8,2.4,4.2,4,1,0,0,Transfer,2019,100,21,4.0,4.5,0.21,0.53,Medium,164500.0,177,0.29
EMP00107,Operations,Manager,L3,Male,Delhi,Master's,25,8.2,28200.0,2.6,2.7,2.5,30,7,0,0,Resignation,2019,100,11,3.9,2.4,0.05,0.526,Medium,22500.0,1230,0.14
EMP00108,Engineering,Senior Manager,L4,Male,Kolkata,MBA,33,0.5,58100.0,4.8,4.2,3.2,24,7,2,0,Resignation,2019,75,16,2.8,4.0,0.32,0.483,Medium,48700.0,1411,0.59
EMP00109,Sales,Analyst,L3,Non-Binary,Kolkata,MBA,38,10.7,41800.0,3.4,4.0,3.7,10,6,0,0,Retirement,2016,50,3,4.5,3.5,0.1,0.263,Low,71800.0,193,0.78
EMP00110,Sales,Individual Contributor,L6,Female,Noida,Bachelor's,37,0.7,71600.0,2.8,3.8,4.3,24,0,1,0,Resignation,2020,75,17,3.4,4.8,0.38,0.447,Medium,118200.0,284,0.53
EMP00111,Engineering,Analyst,L2,Male,Bangalore,Bachelor's,52,2.1,40800.0,3.5,3.8,2.2,24,3,2,0,Termination,2017,50,8,3.3,4.8,0.19,0.509,Medium,49000.0,970,0.66
EMP00112,Marketing,Director,L4,Female,Chennai,Bachelor's,47,5.8,88000.0,3.7,3.3,4.8,4,0,1,1,Retirement,2020,50,2,3.6,4.7,0.22,0.296,Low,120100.0,829,0.35
EMP00113,Marketing,Manager,L2,Female,Hyderabad,Master's,56,5.1,136300.0,4.9,3.7,4.0,13,5,1,0,Transfer,2023,50,2,4.6,4.0,0.11,0.306,Low,135100.0,899,0.55
EMP00114,Operations,Manager,L2,Male,Noida,Bachelor's,42,1.5,216200.0,4.4,2.9,2.3,6,2,0,0,Termination,2020,0,12,3.2,3.1,0.39,0.597,Medium,289800.0,547,0.53
EMP00115,Customer Success,VP,L4,Female,Delhi,Diploma,50,2.6,112100.0,4.8,4.5,2.1,0,1,2,0,Retirement,2015,75,9,4.1,3.4,0.07,0.391,Medium,96300.0,606,0.54
EMP00116,Engineering,Analyst,L5,Female,Chennai,Master's,46,8.9,46300.0,3.2,4.3,2.7,10,7,2,0,Termination,2015,50,18,3.0,3.6,0.06,0.438,Medium,32200.0,1238,0.58
EMP00117,Product,Director,L4,Male,Noida,Master's,36,5.7,73500.0,3.9,4.2,2.6,22,0,3,1,Termination,2015,100,12,2.5,3.5,0.09,0.404,Medium,133200.0,1249,0.44
EMP00118,Finance,Senior Analyst,L3,Male,Chennai,MBA,57,5.6,154100.0,4.2,3.3,2.9,17,4,3,0,Termination,2017,50,21,4.0,3.7,0.23,0.522,Medium,227100.0,666,0.8
EMP00119,Engineering,Manager,L1,Male,Noida,MBA,55,4.9,65500.0,3.4,3.8,3.5,0,8,2,0,Transfer,2017,75,11,4.2,4.1,0.37,0.427,Medium,62700.0,1404,0.56
EMP00120,Product,Senior Analyst,L2,Female,Pune,Master's,48,5.8,34900.0,3.9,3.6,3.1,21,6,3,0,Contract End,2018,100,23,4.5,3.1,0.08,0.547,Medium,29700.0,1288,0.78
EMP00121,Marketing,Manager,L3,Female,Mumbai,MBA,27,2.4,107300.0,3.4,4.0,4.1,29,8,2,0,Retirement,2017,100,16,4.6,4.2,0.17,0.426,Medium,59400.0,1215,0.67
EMP00122,Engineering,Analyst,L5,Male,Chennai,Diploma,29,2.2,135600.0,3.9,4.6,4.6,2,5,3,0,Resignation,2015,75,9,3.2,4.3,0.04,0.31,Low,135500.0,1272,0.88
EMP00123,Operations,Director,L5,Male,Noida,Bachelor's,41,3.4,127500.0,4.4,3.0,4.0,7,5,1,0,Contract End,2020,25,0,3.2,3.7,0.34,0.37,Medium,208600.0,324,0.69
EMP00124,Operations,Analyst,L1,Male,Hyderabad,PhD,42,1.2,116100.0,4.0,3.0,4.8,0,1,1,0,Termination,2018,100,4,4.3,2.9,0.27,0.329,Low,78200.0,567,0.58
EMP00125,Engineering,Analyst,L3,Male,Mumbai,Bachelor's,53,1.8,129900.0,4.7,3.3,2.8,21,5,2,0,Resignation,2019,75,1,3.4,3.9,0.25,0.385,Medium,207900.0,1106,0.51
EMP00126,Marketing,Senior Analyst,L5,Male,Kolkata,MBA,34,1.7,89600.0,3.1,3.8,4.0,6,5,1,0,Termination,2020,25,11,3.3,4.1,0.34,0.364,Medium,157300.0,654,0.89
EMP00127,Operations,Manager,L6,Non-Binary,Kolkata,MBA,35,0.3,86900.0,4.2,4.3,4.0,27,5,2,0,Contract End,2018,100,23,3.7,3.4,0.17,0.458,Medium,126900.0,534,0.7
